"","Operator","Type","NumberOfCrashes"
"3325","Pan American World Airways","Sikorsky S-42B (flying boat)",1
"3326","Pan American World Airways","Sikorsky S-43 (flying boat)",1
"3327","Pan American World Airways","Sikorsky S43 (flying boat)",1
"3328","Pan American World Airways / KLM","Boeing B-747-121 / Boeing B-747-206B",1
"3329","Pan ArctiOil","Lockheed 188PF Electra",1
"3330","Pan International","BAC One-Eleven 515FB",1
"3331","Pan Malaysian Air Transport","Shorts SC-7 Skyvan 3-100",1
"3332","Panagra","Ford 5-AT-C Tri-Motor",1
"3333","Panagra","Ford 5-AT-C Tri Motor",1
"3334","Panair do Brasil","Consolidated PBY-5A Catalina",1
"3335","Panair do Brasil","Douglas DC-3A",1
"3336","Panair do Brasil","Douglas DC-3A-228D",1
"3337","Panair do Brasil","Douglas DC-7C",1
"3338","Panair do Brasil","Lockheed 049-46-21 Constellation",3
"3339","Panair do Brasil","Lockheed 049 Constellation",1
"3340","Panair do Brasil","Lockheed 18 Lodestar",2
"3341","Panair do Brasil","Lockheed 18 LodeStar",1
"3342","Panair do Brasil","Sikorsky S-43B (flying boat)",1
"3343","Panair do Brazil","McDonnell Douglas DC-8-33",1
"3344","Panorama Air Tour","Piper PA-31-350 Navajo",1
"3345","Papillon Grand Canyon Helicopters of Las Vegas","Aerospatiale AS350 Eurocopter  helicoper",1
"3346","Paradise Air","Cessna 207 Skywagon",1
"3347","Paradise Airlines","Lockheed 049 Constellation",1
"3348","Paradise Tour Helicopters","McDonnell Douglas 369D",1
"3349","Paraense Transportes Aéreos","Curtiss C-46A",1
"3350","Paraense Transportes Aéreos","Curtiss C-46D",1
"3351","Paraense Transportes Aereos","Fairchild-Hiller FH-227B",1
"3352","Paramount Airlilnes","Mi-8",1
"3353","Parsa","Britten Norman BN-2A Trislander",1
"3354","Partnair","Convair CV-580",1
"3355","Patagonia Airlines","Cessna 208 Grand Caravan",1
"3356","Pathet Lao Airlines","Antonov An-24",1
"3357","Patuxent Airways / Private","Piper Navajo PA-31/ Piper Seminole PA-44",1
"3358","Paukn Air","British Aerospace BAe-146-100",1
"3359","Paul Kelly Flying Service Inc.","Learjet 23",1
"3360","Pavair","Gates Learjet 24B",1
"3361","Pel Air","IAI 1124 Westwind",1
"3362","Pelita Air Service","Aerospatiale 330G Puma",1
"3363","Pelita Air Service","CASA 212 Aviocar 100",1
"3364","Pelita Air Service","CASA 212 Aviocar 200",2
"3365","Pelita Air Service","Fokker F-27 Friendship 400",1
"3366","Pelita Air Service","IPTN 332C Super Puma",1
"3367","PenAir","Cessna 208 Caravan",1
"3368","PenAir","Piper PA-32-301 Cherokee",1
"3369","PENAS","Douglas DC-6",1
"3370","Peninsula Air Services","Cessna 402",1
"3371","Peninsular","Douglas C-54",1
"3372","Penninsula Airways - Air Taxi","Piper PA-32",1
"3373","Pennsylvania Airlines","Shorts 330-200",1
"3374","Pennsylvania Central Airlines","Douglas DC-3",3
"3375","Pennsylvania Central Airlines","Douglas DC-4 (C-54-DO)",1
"3376","Perimeter Airlines","Swearingen SA.226TC Metro I",1
"3377","Permaviatrans","Antonov AN-26",1
"3378","Perris Valley Aviation","de Havilland Canada DHC-6 Twin Otter 200",1
"3379","Petroleum Helicopter","Bell 204B helicopter",1
"3380","Petroleum Helicopter","Bell 205 A-1 helicopter",1
"3381","Petroleum Helicopter","Bell 212",1
"3382","Petroleum Helicopter","SNIAS SA330J",1
"3383","Petroleum Helicopters Inc","Sikorsky S-76C",1
"3384","Petrolium Helicopter","Bell 205A",1
"3385","Petrolium Helo Inc.","Bell 206B",1
"3386","Petroproducción","Fairchild FH-227E",1
"3387","PHI Air Medical","Bell 407",1
"3388","Philippine Aerotransport","Britten-Norman BN-2A-21 Islander",3
"3389","Philippine Air Express","Douglas DC-3",1
"3390","Philippine Air Lines","Airbus A.320-214",1
"3391","Philippine Air Lines","Airbus A.330-301",1
"3392","Philippine Air Lines","BAC One-Eleven 402AP",1
"3393","Philippine Air Lines","BAC One-Eleven 516FP",1
"3394","Philippine Air Lines","BAC One-Eleven 524FF",1
"3395","Philippine Air Lines","BAC One-Eleven 527FK",1
"3396","Philippine Air Lines","Boeing B-737-3Y0",1
"3397","Philippine Air Lines","Boeing B-747-200",1
"3398","Philippine Air Lines","de Havilland Canada DHC-3 Otter",2
"3399","Philippine Air Lines","Douglas C-47A",1
"3400","Philippine Air Lines","Douglas C-47A-35-DL",1
"3401","Philippine Air Lines","Douglas DC-3",10
"3402","Philippine Air Lines","Douglas DC-6",1
"3403","Philippine Air Lines","Fokker F-27 Friendship 100",5
"3404","Philippine Air Lines","Hawker Siddeley HS-748-209",1
"3405","Philippine Air Lines","Hawker Siddeley HS-748-209 Srs. 2",2
"3406","Philippine Air Lines","Hawker Siddeley HS-748 2",1
"3407","Philippine Air Lines","Shorts 360-300",1
"3408","Phillips Flying Service - Air Taxi","Piper PA-23",1
"3409","Phoenix Air","Learjet 36A",1
"3410","Phoenix Airlines","Douglas DC-2-115B",1
"3411","Phoenix Aviation","Boeing 737-2D6C",1
"3412","Pickwick Airways","Fairchild 71",1
"3413","Piedmont Airlines","Douglas DC-3",1
"3414","Piedmont Airlines","Fairchild-Hiller FH-227B",1
"3415","Piedmont Airlines","Martin 404",1
"3416","Piedmont Airlines / Private","Boeing B-727-22 / Cessna 310",1
"3417","Piedmont Airlines / Private","Fairchild F-27 / Cessna 310",1
"3418","Pilgrim Airlines","de Havilland Canada DHC-6 Twin Otter 100",1
"3419","Pilgrim Airlines","de Havilland DHC -6-100",1
"3420","Pinnacle Airlines/Northwest Airlink","Canadair CRJ200LR RegionalJet",1
"3421","Pioneer Airlines","Cessna 402A",1
"3422","Pioneer Airlines","Swearingen SA.227AC Metro III",1
"3423","Plane Sailing","Consolidated PBY-5A Catalina",1
"3424","Planemasters","Cessna 208B Caravan I Super Cargomaster",1
"3425","PMT Air","Antonov AN-24V",1
"3426","Points North Air Services","Douglas C-47A-5-DK",1
"3427","Polynesian Airlines","de Havilland Canada DHC-6 Twin Otter 300",1
"3428","Polynesian Airlines","Douglas DC-3",1
"3429","Portsmouth Aviation - Air Taxi","Piper PA-28",1
"3430","President Airlines","Douglas DC-6B",1
"3431","Presidental Airways Inc. - Air Taxi","CASA 212-CC",1
"3432","Prestige Airlines (Cargo) Charter","Boeing B-707-123B",1
"3433","Price Aircraft Company","Rockwell Sabreliner 65",1
"3434","Prinair","de Havilland DH-114 Heron",1
"3435","Prinair","de Havilland DH-114 Heron 2B",1
"3436","Prinair","de Havilland DH-114 Heron 2D",1
"3437","Prior Aviatoin - Air Taxi","Bell 47G-2",1
"3438","Priority Air - Air Taxi","Beech C-45H",1
"3439","Priorty Air Charter","Cessna 208B Caravan I Super Cargomaster",1
"3440","Private","Aero Commander 500-B",1
"3441","Private","Aero Commander 680E",1
"3442","Private","Beech King Air 65-A90",1
"3443","Private","Beechcraft 18H",1
"3444","Private","Beechcraft 35-B33 Debonair",1
"3445","Private","Beechcraft Bonanza F35",1
"3446","Private","Burgess RV-6 experimental",1
"3447","Private","Cessna  501 Citation",1
"3448","Private","Cessna 177B",1
"3449","Private","Cessna 177RG",1
"3450","Private","Cessna 180K",1
"3451","Private","Cessna 206G",1
"3452","Private","Cessna 310",1
"3453","Private","Cessna 310C",1
"3454","Private","Cessna 335",1
"3455","Private","Curtiss seaplane",1
"3456","Private","Douglas DC-3",1
"3457","Private","F-86 Sabrejet",1
"3458","Private","Fairchild SA227-TT",1
"3459","Private","Helicopter, Hughes 369HS",1
"3460","Private","Lockheed 18 Lodestar",1
"3461","Private","Lockheed Orion 9E Explorer float plane",1
"3462","Private","Mi-8 helicopter",1
"3463","Private","Mitsubishi MU-2B-60",1
"3464","Private","Norman BN-2A-6",1
"3465","Private","Piper Aerostar 601 / Bell 412SP",1
"3466","Private","Piper PA-23-250 Aztec",1
"3467","Private","Piper PA-24-250 Comanche",1
"3468","Private","Piper PA-32-R301 Saratoga II HP",1
"3469","Private","Pipper PA-23-250 Aztec",1
"3470","Private","Rutan Long EZ (experimental aircraft)",1
"3471","Private - Air Taxi","Aero Commander 680",1
"3472","Private - Ashland Oil Company","Lockheed 18 Lodestar",1
"3473","Private - Boeing Aircraft Company","Boeing XB-29",1
"3474","Private - Corporate","Lockheed 1339",1
"3475","Private - de Havilland Aircraft","de Havilland 110",1
"3476","Private - Facilities Management Co.","Douglas C-54A-10-DC",1
"3477","Private - Hendrick Motorsports Inc.","Beech 200 Super King Air",1
"3478","Private - Kabanov - skydiving","Let L-410UVP",1
"3479","Private - Mainline Aviation","Beechcraft H50",1
"3480","Private - Omniflight Helicopters","Bell BHT-206-B Helicopter",1
"3481","Private - OverteCompany","Antonov AN-28 PZL-MieleM-28 Sky Truck",1
"3482","Private - Parajump air show","Beech C-45H",1
"3483","Private - Purdue Reasearch Foundation","Lockheed 10E Electra",1
"3484","Private - Techint  group","Cessna  208B Grand Caravan",1
"3485","Private - WNBC","Enstrom F-28F",1
"3486","Private  - Daewoo Shipbuilding","Sikorsky S-76B helicopter",1
"3487","Private air taxi","Piper PA-23",1
"3488","Private charter","Cessna 441 Conquest",1
"3489","Private charter","Gates Learjet 35",1
"3490","Private Charter","Beechcraft E18S",1
"3491","Private Charter","Cessna 172H",1
"3492","Private KNBC Los Angeles","Bell 206B JetRanger",1
"3493","Private Wings","Cessna 550 Citation",1
"3494","Procuradoria General de la Republica","Rockwell Gulfstream Jetprop 840",1
"3495","Procuraduría General de la República","de Havilland DHC-6 Twin Otter 300",1
"3496","Procurator Generale de la Republica","de Havilland Canada DHC-6 Twin Otter 300",1
"3497","Professional Aviation Services","Douglas DC-3",1
"3498","Propair","Swearingen SA-226TC Metroliner II",1
"3499","Prospec","Britten-Norman BN-2A-6 Islander",1
"3500","Proteus Air / Private","Beechcraft 1900D / Cessna 177",1
"3501","Provincetown - Boston Airlines","Cessna 402C",1
"3502","Provincetown - Boston Airlines","Embraer 110P1 Bandeirante",1
"3503","Provincial Air Services","Britten-Norman BN-2A Trislander",1
"3504","Provincial Airlines","de Havilland Canada DHC-6 Twin Otter 300",1
"3505","PT Air Regional","de Havilland Canada DHC-6 Twin Otter",1
"3506","Ptarmigan Airways","de Havilland Canada DHC-6 Twin Otter 300",1
"3507","Pudget Sound Air - Air Taxi","Beechcraft C-45H",1
"3508","Pulkovo Airlines","Tupolev Tu-154M",1
"3509","Pulkovo Aviation Enterprise","Iluyshin Il-86",1
"3510","Purdue Airlines Inc.","Douglas DC-3 (C-47-DL)",1
"3511","Qantas","de Havilland DH-50A",1
"3512","Qantas","de Havilland DH-84",1
"3513","Qantas","de Havilland DH-86",2
"3514","Qantas","de Havilland DH-9C",1
"3515","Qantas","de Havilland DH.50J",1
"3516","Qantas","de Havilland DHA-3 Drover II",1
"3517","Qantas","deHavilland DH-86",1
"3518","Qantas","Lockheed L-18-56 Lodestar",1
"3519","Qantas","Short S-23",1
"3520","Qantas","Short S-23 (flying boat)",2
"3521","Qantas","Short S23 ‘C’ Class flying boat",1
"3522","Quakertown Aviation - Air Taxi","NA Rockwell 112",1
"3523","Quebecair","Douglas DC-3",1
"3524","Quebecair","Fairchild F-27",1
"3525","Queen Airmotive - Air Taxi","Beechcraft B90",1
"3526","Queen Charlotte Airlines","Consolidated PBY-5A Catalina",1
"3527","Queen Charlotte Airlines","Douglas DC-3",1
"3528","Queensland Airlines","Douglas C-47A",1
"3529","Queensland Airlines","Lockheed 18 Lodestar",1
"3530","Réseau Aérien Interinsulaire","Consolidated PBY-5A  Catalina",1
"3531","Radeair","Rockwell 1121B Jet Commander",1
"3532","RAM","Vickers 952F Vanguard",1
"3533","Rambar Aviation - Air Taxi","Beechcraft 58",1
"3534","Rapid Air Transport","Stinson  SM-6000B",1
"3535","Rapid Air Transport","Stinson SM-6000-B",1
"3536","Ray A. Gardner - Taxi","Beechcraft G35",1
"3537","Raytheon Aircraft","Beechcraft 1900C",1
"3538","RCMP-GRC Air Services","Cessna 208 Caravan I",1
"3539","REAL","Convair CV-340-62",1
"3540","REAL","Convair CV-440-62",1
"3541","REAL","Curtiss C-46A-60-CK",1
"3542","REAL","Douglas DC-3",4
"3543","REAL","Douglas DC-3 (C-47-DL)",1
"3544","REAL / Military - U.S. Navy","Douglas DC-3 / USN R-6D-1",1
"3545","Reali Taxi Aereo","Learjet 35A",1
"3546","Red Aircraft Service - Air Taxi","Piper PA-23",1
"3547","Red Bank Air Taxi","Beechcraft D18S",1
"3548","Red Carpet Flying Service - Air Taxi","Cessna 320E",1
"3549","Reed Aviation - Air Taxi","Piper PA-28R",1
"3550","Reeder Flying Service","Douglas DC-3",1
"3551","Reeve Aleutian Airlines","Douglas C-54B",1
"3552","Regency Express Air","Cessna 208B Caravan I Super Cargomaster",1
"3553","Regina Cargo Airlines","Curtiss C-46F-1-CU",1
"3554","Regina Cargo Airlines","Douglas DC-3",1
"3555","Regional Airlines","Antonov 24",1
"3556","Regional Compagnie Aerienne Europeenne","Fokker 100",1
"3557","Regionnair","Beechcraft 1900D",1
"3558","Renan Airways","Antonov An-72",1
"3559","RepubliAirlines","Convair 580-11A",1
"3560","Resort Air Service - Air Taxi","Beechcraft 58",1
"3561","Resort Airlines","Curtiss C-46F-1-CU",1
"3562","Revilla Flying Service - Air Taxi","Cessna A185F",1
"3563","Reynolds Airways","Fokker F-VII",1
"3564","Rhoadgs Aviation - Air Taxi","Cessna 310",1
"3565","Richland Aviation  - Taxi","Cessna 310C",1
"3566","Richland Flying Service - Air Taxii","Cessna TU206D",1
"3567","Richmor Aviation","IAI 1124A Westwind",1
"3568","Rico Linhas Aereas","Embraer 120ER Brasilia",1
"3569","Rico Taxi Aéreo","Embraer 120ER Brasilia",1
"3570","Rico Taxi Aero","Embraer 110 Bandeirante",1
"3571","Riddle Airlines","Curtiss C-46A",2
"3572","Rijnmond Air Services","Piper PA-31-350 Chieftain",1
"3573","Rimouski Airlines","Douglas DC-3",1
"3574","Rinaldo Piaggio","Piaggio PD-808",1
"3575","Riverside Air","Piper PA-32",1
"3576","Roadrunner Airlines","Cessna 421B Golden Eagle",1
"3577","Robinson Airlines","Douglas DC-3",1
"3578","Rocky Mountain Airways","de Havilland Canada DHC-6 Twin Otter 300",1
"3579","Romanian Banat Air","Antonov AN-24B",1
"3580","Ross Aviation - Air Taxi","Beechcraft 65-B80",1
"3581","Rotor Airs In- Air Taxi","Sikorsky S-62A",1
"3582","Rotorcraft Leasing Co","Bell 206-L4 Jet Ranger III",1
"3583","Rousseau Aviaiton","Nord 262E",1
"3584","Royal Air Lao","Douglas DC-3",1
"3585","Royal Air Lao","Douglas DC-4",1
"3586","Royal Air Maroc","Aerospatiale ATR-42-300",1
"3587","Royal Air Maroc","Aerospatiale Caravelle 3",1
"3588","Royal American - Air Taxi","Beechcraft A36",1
"3589","Royal Nepal Airlines","de Havilland Canada DHC-6 Twin Otter 300",3
"3590","Royal Nepal Airlines","Douglas C-47A",1
"3591","Royal Nepal Airlines","Douglas DC-3",2
"3592","Royal Nepal Airlines","Fokker F-27 Friendship 200",1
"3593","Royal Nepal Airlines","Pilatus PC-6/B2-H2 Turbo-Porter",1
"3594","RRC Air Service","de Havilland DHC-6 Twin Otter 300",1
"3595","Rubner Flying Service","Lockheed Vega 2",1
"3596","Ruiban & Duran Compania Aérea","Let 410UVP-E",1
"3597","Russ Air Transport Company","Ilyushin IL-76",1
"3598","Rusts Flying Service Inc.","de Havilland Dash-2 float plane",1
"3599","Rutaca","Britten-Norman BN-2A Islander",1
"3600","Rutaca Airlines","Douglas DC-3C (C47A-DL)",1
"3601","Rutas Aéreas Nacionales SA","Curtiss C-46D",1
"3602","Rutas Internacionales Peruanes","Douglas C-54D",1
"3603","Rwanda Government","Dassault Falcon 50",1
"3604","Ryan Air Services","Beechcraft 1900C",1
"3605","Ryan Air Services","Cessna 402B",1
"3606","Ryan Blake Air Charter","Swearingen SA-226T Metro II",1
"3607","Ryan International Airlines","McDonnell Douglas DC-9-15RC",1
"3608","SA Amazonica","Yakovlev YAK-40",1
"3609","Sabah Air","Bell 412 (helicopter)",1
"3610","Sabah Air","GAF Nomad N-22B",1
"3611","Sabang Merauke Raya Air Charter","Britten-Norman BN-2A Islander",1
"3612","Sabang Merauke Raya Air Charter","CASA 212",1
"3613","Sabena","Boeing 707-329C",1
"3614","Sabena","Boeing B-707-320",1
"3615","Sabena","Convair CV-240",1
"3616","Sabena","Convair CV-240-12",1
"3617","Sabena","Douglas C-47-DL",1
"3618","Sabena","Douglas C-47A",1
"3619","Sabena","Douglas C-47A-60-DL",1
"3620","Sabena","Douglas C-47B-5-DK",1
"3621","Sabena","Douglas DC-3",3
"3622","Sabena","Douglas DC-3 (Douglas C-47A-10-DK)",1
"3623","Sabena","Douglas DC-4-1009",2
"3624","Sabena","Douglas DC-6",1
"3625","Sabena","Douglas DC-7C",1
"3626","Sabena","Fokker F-VII",2
"3627","Sabena","Junkers JU-52",1
"3628","Sabena","Junkers JU-52/3m",1
"3629","Sabena","Sabca F-VII",1
"3630","Sabena","Sabca S-73",1
"3631","Sabena","Savbia-Marchetti  S-73P",1
"3632","Sabena","Savoia-Marchetti SM73",1
"3633","Sabeni","Curtiss C-46D",1
"3634","SADELCA","Douglas DC-3",1
"3635","Sadia","Handley Page HPR-7 Herald 214",1
"3636","SAESA","Hawker Siddeley HS-748-230 Srs. 2A",1
"3637","SAETA","CASA 212 Aviocar 200",1
"3638","SAETA","Douglas C-47",1
"3639","SAETA","Vickers Viscount 785D",2
"3640","Safe Air Cargo","Douglas DC-7BF",1
"3641","Safe Air Complany","Let 410UVP",1
"3642","Safeway Airways","Cessna 320",1
"3643","Saha Airline Services","Boeing B-707-3J9C",1
"3644","Saha Airline Services","Fokker F-27 Friendship 400M",1
"3645","Sahara","Boeing 737-2R4C",1
"3646","Sahsa Airlines","Douglas DC-3",2
"3647","Sahsa Airlines","Douglas DC-6",1
"3648","Saint Lawrence Airways","Avro Anson",1
"3649","Sakha Airlines","Antonov AN-12",1
"3650","Sakha Airlines","Let 410UVP-E",1
"3651","Salair","Convair CV-440",1
"3652","Salair","Douglas DC-3C",1
"3653","Salida Flying Service - Air Taxi","Cessna U206",1
"3654","Salmon Air - Air Taxi","Cesna 208 Caravan",1
"3655","SAM Colombia","Boeing B-727-46",1
"3656","SAM Colombia","Curtiss C-46",1
"3657","SAMSA","Curtiss C-46",1
"3658","SAN Ecuador","Sud Aviation SE-210 Caravelle VIR",1
"3659","San Juan Air","Britten-Norman BN-2A Islander",1
"3660","Sankuru Air Service","Yakovlev 40D",1
"3661","SANSA","CASA 212 Aviocar 200",1
"3662","SANSA","Cessna 208B Grand Caravan",1
"3663","SANSA","Cessna 208B Grand Caravan I",1
"3664","Santa Barbara Airlines","ATR-42-300",1
"3665","Sarit Airlines","Antonov AN-12",1
"3666","Sasco Air Lines","Cessna 404 Titan",1
"3667","Sasco Air Lines","Cessna 404 Titan II",1
"3668","Saskatchewan Government Northern Air Operations","Convair CV-580",1
"3669","SATA","Aerospatiale Caravelle 10R",1
"3670","SATA","British Aerospace APT",1
"3671","SATCO","Douglas C-47D",1
"3672","SATCO","Douglas DC-3",1
"3673","SATENA","CASA 212 Aviocar 200",1
"3674","SATENA","Douglas C-47",1
"3675","SATENA","Douglas DC-3",4
"3676","SATENA","Douglas DC-4 (C-54)",1
"3677","SATENA","Fokker F-28 Fellowship 3000",1
"3678","SATENA","Hawker Siddeley HS-748",1
"3679","SATENA","Pilatus PC-6 Turbo Porter",1
"3680","SATENA","Pilatus PC-6 Turbo Porter / Cessna 206",1
"3681","Saturn Airways","Lockheed L-100-20 Hercules",1
"3682","Saturn Airways","Lockheed L-100-30 Hercules",1
"3683","Saudi Arabian Airlines","Convair CV-340-68B",1
"3684","Saudi Arabian Airlines","Douglas C-47A",1
"3685","Saudi Arabian Airlines","Douglas DC-3",2
"3686","Saudi Arabian Airlines","Lockheed 1011-200 TriStar",1
"3687","Saudi Arabian Airlines","Lockheed L-1011-200",1
"3688","Saudi Arabian Airlines / Kazastan Airlines","Boeing B-747-168B / Ilyushin IL-76TD",1
"3689","Saudi Arabian Royal Flight","de Havilland Comet 4C",1
"3690","Savanair","Antonov 12B",2
"3691","Savannair","Antonov AN-12",1
"3692","SAVCO","Curtiss C-46A-45-CU",1
"3693","SAVCO","Douglas DC-6",1
"3694","SAVIARE S.A. - Air Taxi","Cessna TU206G",1
"3695","SCADTA","Junkers F-13",2
"3696","Scandinavian Airlines (SAS)","Douglas DC-6 / RAF York MW248",1
"3697","Scandinavian Airlines (SAS)","McDonnell Douglas DC-10-30",1
"3698","Scandinavian Airlines (SAS)","McDonnell Douglas DC-8-62",1
"3699","Scandinavian Airlines (SAS)","MDonnell Douglas MD-81",1
"3700","Scandinavian Airlines (SAS)","Sud Aviation Caravelle 1",1
"3701","Scandinavian Airlines (SAS)","Vickers 628 Viking 1B",1
"3702","Scandinavian Airlines (SAS) / Private","MD-87 / Cessna 525A Citation II",1
"3703","Scanex Air","Beechcraft King Air C90",1
"3704","SceniAir Lines","Cessna 402",1
"3705","SceniAir Tours","Beechcraft E18S",1
"3706","SceniAir Tours","Beechcraft H18",1
"3707","SceniAir Tours","Beechcraft King Air C90A",1
"3708","SceniAirline - Air Taxi","Cessna 402",1
"3709","SceniAirlines","Cessna 208B Caravan I",1
"3710","SceniAirlines","Cessna 404 Titan II",1
"3711","Scibe Airlift Cargo Zaire","Fokker F-27 Friendship 400M",1
"3712","Scibe Airlift Cargo Zaire","Learjet 24D",1
"3713","Scottish Airlines","Avro 685 York C-1",3
"3714","Sea Airmotive","de Havilland Canada DHC-4A Caribou",1
"3715","Seattle Air Charter","Douglas DC-3 (C-47A-DL)",1
"3716","Seaview Aviation","Rockwell Turbo Commander 690B",1
"3717","SeaWind Aviation","de Havilland Canada DHC-2 Beaver",1
"3718","Security Air","Aero Commander 500A",1
"3719","SELVA","Antonov 32B",1
"3720","SELVA","Antonov An-32B",1
"3721","SELVA","Antonov AN-32B",1
"3722","SELVA Colombia","Antonov AN-32A",1
"3723","Selva Taxi Aero","Embraer 110 Bandeirante",1
"3724","SEMAF","Latecoere 631 (sea plane)",1
"3725","Sempati Air","Fokker F-27 Friendship 600",1
"3726","Senegalair","Piper PA-31-310 Navajo",1
"3727","Servant Air","Piper PA-31-350 Navajo",1
"3728","Service Air","Antonov 12",1
"3729","Service Air","Antonov An-26",1
"3730","Servicio Aéreo Panini","Douglas DC-2-172",1
"3731","Servicio Aereo Columbiano / SCADTA","Ford Tri-Motor / Ford Tri-Motor",1
"3732","Servicio Aereo Manchupo","Cessna 206",1
"3733","Servicio Expresso Nacional","Beech King Air B90",1
"3734","Servicios Aéreos Boliviano","Curtiss C-46F",1
"3735","Servicios Aéreos Cochabamba","Douglas C-47A-25-DK",1
"3736","Servicios Aéreos Especiales","Douglas DC-3",1
"3737","Servicios Aereas Virgen de Copacabana","Curtiss C-46A-40-CU",1
"3738","Servicios Aereos Martinez Leon","Britten-Norman BN-2A-8 Trislander",1
"3739","Servicios Aereos Nacionales","Vickers Viscount 764 D",1
"3740","Servicios Aereos Nacionales Airways","Vickers Viscount 764D",1
"3741","Servicios Aereos Santa Ana","Convair CV-440-80",1
"3742","Servicios Aeronauticos Sucre (SASCA)","Cessna 208B Grand Caravan",1
"3743","Servicios Americanos","Curtiss C-46F",1
"3744","Servivensa","Douglas C-47A-10-DK",1
"3745","Servivensa","Douglas DC-3C",1
"3746","Seventy Airways - Air Taxi","Hughes 369HS",1
"3747","SFC Vietnam - Charter - Full Account","Mil Mi-18 Helicopter",1
"3748","Shanair Inc. - Air Taxi","Beechcraft 58",1
"3749","Shangri La Air","de Havilland Canada DHC-6-300 Twin Otter",1
"3750","Shanxi Airlines","Ilyushin IL-14P",1
"3751","Shell Co of Ecuador","Bristol 170 Freighter 21",1
"3752","Shelter Cove Sea Park","Douglas DC-3",1
"3753","Si Fly - U.N. charter","Aerospatiale Alenia ATR-42",1
"3754","Siamese Airways","Douglas DC-3",1
"3755","Sibir (S7)","Airbus A-310-324ET",1
"3756","Sibir Airlines","Tupolev 154B-2",1
"3757","Sibir Airlines","Tupolev Tu-154M",1
"3758","Sierra PacifiAirlines","Convair CV-440",1
"3759","SilkAir","Boeing B-737-300",1
"3760","Silver City Airways","Bristol 170 Freighter 21",1
"3761","Simmons Airlines","Embraer 110P1 Bandeirante",1
"3762","Simpson Air Service - Air Taxi","de Havilland DHC-2",1
"3763","Singapore Airlines","Boeing B-747-412",1
"3764","Singapore Airlines","Learjet 31",1
"3765","Sinquanon Management - Air Taxi","Aerospatiale 350D",1
"3766","Skagway Air Service - Air Taxi","Piper PA-32",1
"3767","Skips Air Service - Air Taxi","Cessna 310Q",1
"3768","Sky Cabs","Antonov AN-12 (freighter)",1
"3769","Sky Chopper  - Air Taxi","Bell 47G3B1",1
"3770","Sky Executive Air Services","LET 410UVP",1
"3771","Sky Haven - Air Taxi","Cessna 172M",1
"3772","Sky Train Air","Learjet 24",1
"3773","Skycraft Air Transport","Douglas DC-3",1
"3774","Skydive Salt Lake - Charter","Beech A90 King Air",1
"3775","Skyline Airways","de Havilland Canada DHC-6 Twin Otter",1
"3776","Skyline Airways","de Havilland Canada DHC-6 Twin Otter 300",1
"3777","Skyline Aviation - Air Taxi","Piper PA-31",1
"3778","Skyline Sweden","Vickers Viscount 838",1
"3779","Skyline Transportation Company","Travel Air 4000",1
"3780","Skylink Airlines","Swearingen SA.227AC Metro III",1
"3781","Skypower Express Airways","Embraer 110P1A Bandeirante",2
"3782","Skystream Airlines","Beechcraft 99",1
"3783","Skyvan Airways","Curtiss C-46F",1
"3784","Skyward Aviation","Gates Learjet 35A",1
"3785","Skyway Air  - Taxi","Beechcraft C-45H",1
"3786","Skyways","Avro 685 York I",1
"3787","Skyways of London","de Havilland Dove 1",1
"3788","Skyways of London","Douglas C-54A-1-DO Skymaster",1
"3789","Skywest Airlines / Private.","Swearingen SA-226TC / Mooney M-20C",1
"3790","Skyworld Airlines (Ports of Call Inc.)","Boeing B-707-323B",1
"3791","SL Aviation Services","Douglas DC-3",1
"3792","Slick Airways","Curtiss C-46E",3
"3793","Slick Airways","Curtiss C-46E-1-CS",1
"3794","Slick Airways","Curtiss C-46F",1
"3795","Slick Airways","Lockheed 1049H Super Constellation",1
"3796","Slick Airways - Cargo","Douglas DC-4",1
"3797","Smithers Air Service","de Havilland Canada DHC-3 Otter",1
"3798","Smyer Aircraft - Air Taxi","Beechcraft E18S",1
"3799","Snow Valley Ski Lines","Douglas DC-3",1
"3800","Sobelair SA (Belgium)","Douglas C-54B",1
"3801","Sobelair SA (Belgium)","Sud-Aviation Caravelle VI-N",1
"3802","Soc. de Tr. Aériens d'Extrême Orient","Douglas C-47-DL",1
"3803","Société Aérienne de Tr. Tropicaux","Lockheed 18 Lodestar",1
"3804","Société Auxiliare de Navigation Aérienne","Junkers Ju-52/3m",1
"3805","Société de Transports Aériens","Junkers Ju-52/3m",1
"3806","Sociedad Aeronautica Medellin","Curtiss C-46A",1
"3807","Sociedad Aeronautica Medellin","Douglas C-47A",1
"3808","Sociedade de Aviacao Ligeira Charter","Beechcraft 1900C",1
"3809","Societa Aerea Mediterranea","Douglas DC-6B",1
"3810","Società Aerea Teseo","Douglas C-47-DL",1
"3811","Societe Aerienne du Littoral","Bristol 170 Freighter I",1
"3812","Societe Alpes Provence","Douglas DC-3",1
"3813","Societe France Hydro","Latecoere 631",1
"3814","Societe Indochinoise de Raviteillement","Lockheed 18 Lodestar",1
"3815","Societe Indochinoise de Transport Aeriens","Bristol 170 Freighter 21",1
"3816","Societe Transatlantique Aerienne","Douglas C-47A-50-DL",1
"3817","Socotra","Junkers JU-52/3m",1
"3818","Soldotna Air Services","Cessna 402B",1
