"","Operator","Type","NumberOfCrashes"
"396","Air France","Lockheed L- 749A Constellation",1
"397","Air France","Lockheed Super Constellation",1
"398","Air France","Potez 621",2
"399","Air France","SNCASE Languedoc",1
"400","Air France","SNCASE SE.2010 Armagnac",1
"401","Air France","Sud-Aviation Caravelle 3",1
"402","Air France","Sud-Aviation Caravelle III",1
"403","Air France","Sud Aviation SE 210 Caravelle III",1
"404","Air France","Vickers 708 Viscount",1
"405","Air France","Wibault 280",1
"406","Air France","Wibault 282T-12",1
"407","Air France","Wibault 283-T12",1
"408","Air Freight New Zealand","Convair CV-580",1
"409","Air Freight New Zealand","Convair CV-580F",1
"410","Air Gabon","Douglas DC-6B",1
"411","Air Gaspé","Douglas DC-3",1
"412","Air Georgian","Cessna 208B Super Cargomaster",1
"413","Air Global","Cessna 500 Citation I",1
"414","Air Guadeloupe","de Havilland Canada DHC-6 Twin Otter 300",2
"415","Air Guinee","Ilyushin IL-18",1
"416","Air Haiti International","Lockheed L-749A Constellation",1
"417","Air Hawaii","Volpar C45G",1
"418","Air Illinois","Hawker Siddeley HS-748-FAA",1
"419","Air India","Boeing B-707-437",2
"420","Air India","Boeing B-747-237B",2
"421","Air India","Douglas C-47A-30-DK Dakota III",1
"422","Air India","Douglas DC-3",2
"423","Air India","Douglas DC-3 (C-47)",1
"424","Air India","Lockheed 749 Constellation",1
"425","Air India","Lockheed 749A Constellation",1
"426","Air Inter","Airbus A320-111",1
"427","Air Inter","Vickers Viscount 708",1
"428","Air Inter","Vickers Viscount 724",1
"429","Air Iowa","Beech E18S",1
"430","Air Ivoire","Douglas DC-3",1
"431","Air Ivorie","Fokker F-27 Friendship 400M",1
"432","Air Jordan","Convair CV-240-2",1
"433","Air Karibu","Lockheed L-188A Electra",1
"434","Air Kasai","Antonov AN-26A",1
"435","Air Lanka","Lockheed L-1011-100",1
"436","Air Laos","Douglas C-47A-25-DK",1
"437","Air Laos","Douglas DC-3",1
"438","Air Liberia","Hawker Siddeley HS-748-329 Srs. 2A",1
"439","Air Littoral","Aerospatiale ATR-42-512",1
"440","Air Littoral","Embraer 120 Brasilia",1
"441","Air Littoral","Swearingen SA-226TC Metro II",1
"442","Air Logistics","Bell 205A-1 helicopter",1
"443","Air Logistics","Bell 206B",1
"444","Air Logistics","Bell 212",1
"445","Air Luxor","Antonov 12BP",1
"446","Air Madagascar","de Havilland Canada DHC-6 Twin Otter 300",1
"447","Air Madagascar","Douglas C-47",1
"448","Air Madagascar","Douglas DC-4-1009",1
"449","Air Malawi","Shorts SC-7 Skyvan 3-100",1
"450","Air Mali","Antonov AN-24V",1
"451","Air Mali","de Havilland Canada DHC-6 Twin Otter 300",1
"452","Air Manila","Douglas DC-3A",1
"453","Air Manila","Fairchild F-27",1
"454","Air Manila","Lockheed 188A Electra",1
"455","Air Manitoba","Douglas C-47B",1
"456","Air Manitoba","Hawker Siddeley HS-748-234 Srs. 2A",1
"457","Air Martinique","Britten-Norman BN-2B-26 Islander",1
"458","Air Mauritanie","Fokker F-28 Fellowship 4000",1
"459","Air Melanesie","Britten-Norman BN-2A-6 Islander",1
"460","Air Memphis","Boeing 707-336C",1
"461","Air Methods / ClassiHelicopters","Bell 407 / Bell 407",1
"462","Air Moorea","de Havilland Canada DHC-6 Twin Otter 300",1
"463","Air Nautic","Boeing B307-1 Stratoliner",1
"464","Air Nautic","Vickers Viking 1B",1
"465","Air New England","de Havilland Canada DHC-6 Twin Otter 300",1
"466","Air New Zealand","Douglas DC-8-52",1
"467","Air New Zealand","Fokker F-27 Friendship 500",1
"468","Air New Zealand","McDonnell Douglas DC-10-30",1
"469","Air Niagara","Cessna 500 Citation I",1
"470","Air North","Douglas DC-4",1
"471","Air North Queensland","Cessna Citation I",1
"472","Air Ocean","Junkers Ju-52/3m",1
"473","Air Ohio - Air Taxi","Aerostar 601",1
"474","Air One Executive","Cessna 650 Citation III",1
"475","Air Ontario","Fokker F-28 Fellowship 1000",1
"476","Air Orient","Cams 33",1
"477","Air Orient","CAMS 53",1
"478","Air Orient","Farman 190",1
"479","Air Orient","Farman F-190",1
"480","Air Orient","Fokker F-VIIB",1
